,video_length,time_detecting,width,height,fps
0,482.4,300.5387132167816,1920,1080,30
1,536.5666666666667,198.5308575630188,854,480,30
2,1332.0,167.32530283927917,470,360,30
3,691.8,377.6496841907501,1280,720,30
4,1211.8,510.5860960483551,1280,720,30
5,750.9666666666667,423.93880319595337,1280,720,30
6,812.4,348.7612705230713,1280,720,30
7,737.4,604.5775563716888,1920,1080,30
8,511.9,100.6796064376831,640,480,30
9,3170.1666666666665,1390.872428894043,1280,720,30
10,574.4666666666667,331.77547550201416,1280,720,30
11,614.2666666666667,265.3172492980957,1280,720,30
12,377.8,108.39894771575928,854,480,30
13,1423.2333333333333,660.26944231987,1280,720,30
14,949.8333333333334,495.4130439758301,1280,720,30
15,681.9,385.31072187423706,1280,720,30
16,1373.4,1481.9904754161835,1920,1080,30
17,1261.9666666666667,1047.5336828231812,1920,1080,30
18,743.0,472.7707920074463,1280,720,30
19,687.0333333333333,392.70214772224426,1280,720,30
20,779.2,379.07610845565796,1280,720,30
21,3292.9666666666667,701.4124081134796,640,360,30
22,711.8,301.36690759658813,1280,720,30
23,707.2,314.89919114112854,1280,720,30
24,3292.0666666666666,3060.339539051056,1920,1080,30
25,1599.0666666666666,2025.5774297714233,1920,1080,30
26,969.0,484.3733229637146,854,480,30
27,1111.5666666666666,617.0376377105713,1280,720,30
28,1277.6,312.6958522796631,640,360,30
29,2508.133333333333,485.2715792655945,640,360,30
30,767.4666666666667,788.8574531078339,1920,1080,30
31,536.9333333333333,754.1672794818878,1920,1080,30
32,573.3666666666667,323.6029896736145,1280,720,30
33,1829.3333333333333,1880.2216274738312,1920,1080,30
34,1317.3,1420.3936614990234,1920,1080,30
35,2539.0666666666666,1085.4355714321136,386,720,30
36,1894.1333333333334,2204.0598793029785,1920,1080,30
37,1620.6666666666667,674.926992893219,640,480,30
38,560.9666666666667,274.98998069763184,1280,720,30
39,1483.9333333333334,1371.7240817546844,1920,1080,30
40,2147.4666666666667,290.98984837532043,426,240,30
41,1561.1333333333334,1254.8307251930237,1920,1080,30
42,3103.0666666666666,4297.865442752838,1920,1080,30
43,485.53333333333336,332.3536448478699,1920,1080,30
44,575.1333333333333,119.64981031417847,854,480,30
45,415.7,249.253515958786,1920,810,30
46,3188.9666666666667,3819.442135334015,1920,1080,30
47,708.9333333333333,406.6562087535858,1280,720,30
48,519.0333333333333,222.23581218719482,1280,720,30
49,621.3,155.3244080543518,640,480,30
50,3165.233333333333,1975.3053958415985,1280,720,30
51,1984.0,992.1230607032776,1280,720,30
52,332.56666666666666,213.51641035079956,1920,1080,30
53,487.76666666666665,270.24139046669006,1280,720,30
54,3504.7,2039.0942077636719,1280,720,30
55,632.9,492.77234268188477,1920,1080,30
56,698.6,96.78923678398132,490,360,30
57,980.5666666666667,404.68732476234436,1280,720,30
58,1404.6,147.5737783908844,320,240,30
59,962.0333333333333,514.1802237033844,1280,720,30
60,919.6666666666666,185.37358617782593,640,352,30
61,480.4,240.76848816871643,1280,720,30
62,946.4333333333333,64.50503706932068,320,240,30
63,1390.1333333333334,193.56170749664307,640,360,30
64,804.9333333333333,750.9326639175415,1920,1080,30
65,615.0,108.27392244338989,640,360,30
66,2720.5,1432.0944638252258,1280,720,30
67,469.56666666666666,87.39733171463013,640,480,30
68,795.2,125.16595435142517,640,480,30
69,1675.0,1063.1789844036102,1280,720,30
70,365.8,198.3747193813324,1280,720,30
71,392.03333333333336,172.01322746276855,1280,720,30
72,492.46666666666664,94.16348004341125,640,360,30
73,781.2666666666667,235.36193561553955,1280,720,30
74,878.1,745.0260803699493,1920,1080,30
75,1983.3333333333333,958.9190812110901,1280,720,30
76,685.1,67.20826244354248,480,360,30
77,412.8666666666667,159.51236581802368,1280,720,30
78,2056.4333333333334,1841.2663989067078,1920,1080,30
79,645.8333333333334,522.5088932514191,1920,1080,30
80,1502.9333333333334,1338.2590191364288,1920,1080,30
81,1023.3666666666667,583.0186762809753,1280,720,30
82,2602.4666666666667,1409.860417842865,1280,720,30
83,708.9333333333333,89.39722394943237,640,360,30
84,1486.0666666666666,130.10436964035034,360,240,30
85,1011.5666666666667,1078.7845032215118,1920,1080,30
86,736.0333333333333,214.70398616790771,854,480,30
87,1061.6,202.6876027584076,640,360,30
88,3343.4333333333334,2708.073635339737,1920,1080,30
89,1264.8333333333333,568.1686279773712,1280,720,30
90,1643.7333333333333,454.7381503582001,854,480,30
91,1707.2666666666667,1886.0084898471832,1920,1080,30
92,1164.3666666666666,526.853063583374,1280,720,30
93,3082.366666666667,2096.2330033779144,1280,720,30
94,561.0,418.2352406978607,1920,1080,30
95,2516.9,786.1284646987915,854,480,30
96,859.1333333333333,685.4745309352875,1920,1080,30
97,1330.9333333333334,283.42798352241516,640,360,30
98,1859.8333333333333,109.0708179473877,480,360,30
99,1495.0333333333333,798.7488570213318,1920,1080,30
100,741.7666666666667,362.6372220516205,1280,720,30
101,1315.5666666666666,1290.9529330730438,1920,1080,30
102,626.3333333333334,724.6651511192322,1920,1080,30
103,561.2666666666667,495.429648399353,1920,1080,30
104,614.0,340.37002873420715,1280,720,30
105,633.8,210.93819332122803,1280,720,30
106,383.5,345.04224014282227,1920,1080,30
107,1304.1333333333334,1292.8805327415466,1920,1080,30
108,1271.2,175.59167432785034,640,360,30
109,2634.0,1451.1428050994873,1280,720,30
110,344.8666666666667,216.14171075820923,1280,720,30
111,701.4333333333333,329.0253927707672,1280,720,30
112,557.9333333333333,166.13775300979614,640,480,30
113,496.7,48.347434520721436,480,360,30
114,433.23333333333335,230.564683675766,1920,1080,30
115,428.8333333333333,535.3085536956787,1920,1080,30
116,383.76666666666665,69.75532341003418,640,360,30
117,860.8666666666667,230.79896640777588,1280,720,30
118,1988.3666666666666,2056.4705374240875,1920,1080,30
119,1362.5666666666666,1454.0647609233856,1920,1080,30
120,2324.1,1014.7068302631378,1280,720,30
121,575.2333333333333,480.92757773399353,1920,1080,30
122,702.0333333333333,113.44596004486084,640,480,30
123,911.5,849.0026953220367,1920,1080,30
124,507.56666666666666,262.3484001159668,1280,720,30
125,911.2666666666667,543.3543336391449,1280,720,30
126,2971.8333333333335,723.324465751648,640,360,30
127,836.8333333333334,526.6185636520386,1280,720,30
