,video_id,width,height,duration
0,2VyGGNnp_BA,1280,720,60.767
1,V2PFuZQK12s,654,480,322.549
2,j-LMcmS7QT0,1280,720,322.688
3,WET2G_JzQyA,1920,1080,322.804
4,ZBVp8uDwfbI,320,240,322.873
5,UIvIKgmmKZo,480,360,322.920
6,_T24_ZeQAcY,1920,1080,323.222
7,jhQfFgnTMbY,316,240,323.292
8,ckKRkXETlKs,1920,1080,323.454
9,L7zaDPvaulI,1920,1080,323.478
10,hJLD_sn4Kxo,316,240,323.710
11,aaZSMYlqGNQ,492,360,323.849
12,wqa64C4tJMk,1920,1080,323.849
13,1HcSpIRcbI0,1280,720,323.872
14,tFAFhh8e7xo,1920,1080,323.965
15,f_08OvYi59E,1280,720,324.174
16,eIJ75DkvB80,1280,720,324.198
17,YPJFLK-q77k,1280,720,324.244
18,5_FixO8EUYw,640,480,324.685
19,tYrkSAzqMsI,1920,1080,324.848
20,ROYmGuVt53c,426,238,324.871
21,nsKohZ45d5w,1280,720,324.964
22,I7ogddbSigs,1280,720,325.010
23,SYVgOXATn_A,720,480,325.057
24,UvZh7sPslW8,720,480,325.196
25,ZH_T-yOcz4M,640,480,325.893
26,dtGGWHT4qYM,1280,720,325.985
27,yUPh7I3wvq0,1280,720,326.240
28,kZMZkoO1U2U,480,360,326.357
29,g9W-jHbY4fY,1280,720,326.612
30,fPl_fwqjlzU,1280,720,326.914
31,cWwyOp_dv_U,1280,720,327.007
32,DSyhYsjX9-k,1280,720,327.077
33,KJEUnKkXJcw,1280,720,327.170
34,lkuX9d8IEwI,640,480,327.216
35,vpNELRaLkPw,640,360,327.216
36,MRVLTNko59I,1280,720,327.239
37,hlYlCDJR9jU,1920,1080,327.657
38,QLEDze4S8tk,480,360,327.657
39,NB1RWwCU0u0,1920,1080,327.727
40,aWkhkX8DKaI,320,240,327.866
41,ucmw-zYZbMg,638,360,327.866
42,RsPm3nAZRtE,640,480,327.889
43,Tk8Mg-6ddFI,1920,1080,328.052
44,lvhuzYHJ-sU,1280,720,328.098
45,JNeIs9a2DRE,480,360,328.145
46,U4S5Ev8uzmg,1920,1080,328.191
47,oCZZPBGd-pg,640,360,328.284
48,BjURZRCjtys,1280,720,328.377
49,7cOHbwikWqE,320,240,328.493
50,bjcWE-bs06I,1920,1080,328.493
51,B1bViGBWfjU,480,360,328.563
52,Ct0jygarn-0,640,360,328.887
53,u4_TgLj4mag,1920,1080,328.911
54,vnh0UGr9X7o,854,468,328.934
55,GL3zpmwK26s,426,236,329.050
56,5zBT1-jw5MA,1280,720,329.120
57,wJZQHSbxumw,1920,1080,329.167
58,EQlAZFAjg7A,1920,1080,329.283
59,15z9Xmaorxg,320,240,329.367
60,JzD77nNZgXA,320,240,329.399
61,aAnx_7Y49Ys,720,480,329.445
62,eH8_p0inEJs,480,360,329.515
63,a4VylfvfYIU,640,480,329.654
64,GcvC6_g41kM,320,240,330.049
65,v0ovKX-4qFg,1920,1080,330.095
66,hCU7xuQgShQ,1920,1080,330.397
67,h2U32nMtlVM,1280,720,330.653
68,ja3CEc-rcdw,1920,1080,330.699
69,m2Y-2EppmSE,1280,720,330.699
70,duskYqRzOug,1920,1080,330.862
71,GmwvWWNK9OM,854,480,330.862
72,UDEyxcoK3e4,1280,720,330.885
73,_1-jwMpVze0,1920,1080,331.256
74,hnRqc03NoiY,1280,720,331.372
75,wWW8i6pNIdQ,1280,720,331.558
76,kCwNqZfRKLI,1920,1080,331.651
77,4yXrGLzB7e4,1280,720,331.674
78,I0lCj584P1g,1280,720,331.721
79,Qr07E5S_mbQ,1920,1080,331.883
80,sQJ8qClk2Kw,1280,720,331.953
81,y0PnS3BRjPc,1920,1080,331.953
82,1kxJ7bhSwXM,1920,1080,331.976
83,rvK6pv1uHF8,320,240,332.046
84,yeez6zmcIY4,480,360,332.348
85,dZn5ZOF0XrU,1920,1080,332.567
86,naXtOFjtg24,640,360,332.626
87,3lndxqGKyL0,1280,720,332.650
88,HTNi1hxy_U4,1280,720,332.650
89,zkkYkdPda7Q,1920,1080,332.696
90,QqIR8h0bmVs,480,360,332.766
91,_g5BIlLun_E,640,360,332.812
92,ltvLygIY-F4,1920,1080,332.882
93,du6rmFgpb-0,1920,1080,332.951
94,YGHx3292eBo,1280,720,333.068
95,5TLAA8F_zpU,1280,720,333.091
96,_wx76_sPYYY,1280,720,333.230
97,MBiy00OlS1Q,1920,1080,333.369
98,VCU30uFjQxg,1280,720,333.648
99,n9hTxJUfvZ0,1280,720,333.671
100,PYKwFj-jzMY,1920,1080,333.764
101,ZaTZO8AVwTE,1920,1080,333.834
102,k-089ubQ7BQ,1280,720,333.857
103,v5ximIRVgjw,316,240,333.927
104,ohJBz6SKTFU,1920,1080,334.020
