video_id,frame_rate,batch_size,min_face_size,max_frame_size,width,height,video_length,detection_length
3zbCMOTMYQ0,15.0,256,20,,640,480,511.9,351.59142661094666
-75gXEApdNQ,30.0,32,20,,1920,1080,482.4,4150.781609296799
0yTEcgQNoQo,30.0,512,20,,470,360,1332.0,1877.0025317668915
2EBekZXEF3w,30.0,94,20,,1280,720,750.9666666666667,3070.861763238907
3zbCMOTMYQ0,30.0,256,20,,640,480,511.9,736.9932775497437
4D6X_wWx_6k,30.0,94,20,,1280,720,574.4666666666667,1502.6152656078339
4GrZ6AaXnig,30.0,84,20,,1280,720,614.2666666666667,2378.025301218033
51HFQM3yPo4,30.0,240,20,,854,480,377.8,682.3485209941864
6ocBhGNG53I,30.0,94,20,,1280,720,1423.2333333333333,4579.407979011536
7-x4Pik4ztU,30.0,88,20,,1280,720,949.8333333333334,3841.751893758774
76ZWlmpU8NI,30.0,94,20,,1280,720,681.9,2181.345064640045
78ssC83YlOk,30.0,34,20,,1920,1080,1373.4,11612.920480966568
7C80D-iCWp0,30.0,34,20,,1920,1080,1261.9666666666667,6750.788940906525
8AjnrIDJ9Dk,30.0,104,20,,1280,720,687.0333333333333,3210.384084224701
9NpqcrW4FoY,30.0,46,20,,1920,1080,3292.0666666666666,7699.671829223633
9VyuDAUC0YE,30.0,46,20,,1920,1080,1599.0666666666666,20717.65437221527
aivXESc5jrs,30.0,180,20,,854,480,969.0,3572.7224459648132
aOmSvH-5Gck,30.0,38,20,,1920,1080,767.4666666666667,4558.704480171204
AsiQkIOSLj0,30.0,36,20,,1920,1080,536.9333333333333,5103.972461938858
B6OM-wAB3cM,30.0,34,20,,1920,1080,1829.3333333333333,7603.583555459976
B6WLFKUZcl8,30.0,34,20,,1920,1080,1317.3,13085.724390983582
b85zz8XkVO4,30.0,268,20,,386,720,2539.0666666666666,4173.269383430481
bA1AXnTw0xA,30.0,46,20,,1920,1080,1894.1333333333334,13243.621926784515
bP6op_zC_Lc,30.0,232,20,,640,480,1620.6666666666667,5844.0699961185455
B_41smZIXc4,30.0,88,20,,1280,720,560.9666666666667,1713.5130231380463
c0hOSSRf92w,30.0,34,20,,1920,1080,1483.9333333333334,10498.431366443634
C52lC_56SBI,30.0,34,20,,1920,1080,1561.1333333333334,4107.746758699417
CCQptiAh_VY,30.0,34,20,,1920,1080,3103.0666666666666,22743.288338899612
CKgNteI4pdM,30.0,34,20,,1920,1080,485.53333333333336,3500.781981229782
cLI37CuaPv0,30.0,254,20,,854,480,575.1333333333333,1030.196668624878
CLyIotg0mpY,30.0,44,20,,1920,810,415.7,1560.961125612259
cWt2WHYt-g4,30.0,38,20,,1920,1080,3188.9666666666667,16035.009637832642
Dhs_IMxEI4Y,30.0,94,20,,1280,720,519.0333333333333,781.1667504310608
DN4kMc26gmk,30.0,256,20,,640,480,621.3,1147.8992342948914
dZn5ZOF0XrU,30.0,46,20,,1920,1080,332.56666666666666,1651.7568917274475
eL_Z3081iGk,30.0,78,20,,1280,720,487.76666666666665,3683.793686389923
FD7ASrSrQk4,30.0,46,20,,1920,1080,632.9,2266.0141818523407
Feyr1xSziiA,30.0,512,20,,490,360,698.6,2104.2773520946503
FWgUO9JHYWM,30.0,1024,20,,320,240,1404.6,683.7924063205719
gazNxkL0Y1I,30.0,94,20,,1280,720,480.4,1554.379655122757
GEwzkBy3SkQ,30.0,1024,20,,320,240,946.4333333333333,938.9965569972992
GiXJajiWHlg,30.0,38,20,,1920,1080,804.9333333333333,4913.200716257095
gkHascgPc1g,30.0,382,20,,640,360,615.0,1394.0100877285004
H-ZpjCax8g4,30.0,256,20,,640,480,469.56666666666666,595.920191526413
hDWfVV4BE_c,30.0,256,20,,640,480,795.2,686.6953010559082
Hgs1FCxGIv4,30.0,84,20,,1280,720,365.8,1015.991780757904
hwCSDV4esEs,30.0,84,20,,1280,720,392.03333333333336,1170.7893171310425
iIg-NV49USI,30.0,84,20,,1280,720,781.2666666666667,2957.3919751644135
IIzB4J_cN2c,30.0,34,20,,1920,1080,878.1,6482.788947820663
in1RqJ6p0fg,30.0,542,20,,480,360,685.1,1189.8486149311066
IPI2nanuQF0,30.0,94,20,,1280,720,412.8666666666667,1155.3010981082916
jQQdxpeV4YA,30.0,34,20,,1920,1080,645.8333333333334,3091.1719341278076
Jwy1KfhQMZ8,30.0,34,20,,1920,1080,1502.9333333333334,8144.508616447449
KgVW-euTY5g,30.0,1024,20,,360,240,1486.0666666666666,1950.5899713039398
KXZnOyFLjKU,30.0,34,20,,1920,1080,1011.5666666666667,6932.000425815582
KZlZlFq4UAc,30.0,254,20,,854,480,736.0333333333333,1629.6926152706146
kZrHMPKlz1w,30.0,382,20,,640,360,1061.6,1291.8590445518494
LZIgIhHADMo,30.0,34,20,,1920,1080,1707.2666666666667,9963.839344024658
Mg0SeOsj-MA,30.0,82,20,,1280,720,3082.366666666667,23337.562304019928
mRdwy8eUb4k,30.0,38,20,,1920,1080,561.0,2184.3531501293182
MxlJhLtaDK0,30.0,48,20,,1920,1080,859.1333333333333,6938.533119916916
NnyM1jRYMfc,30.0,542,20,,480,360,1859.8333333333333,864.5856187343597
ns08YNU2tzk,30.0,34,20,,1920,1080,1495.0333333333333,3989.630972146988
oBvD4ox9Aik,30.0,112,20,,1280,720,741.7666666666667,3225.8207564353943
oQnRdoOLDrY,30.0,34,20,,1920,1080,1315.5666666666666,6333.052227020264
oSBbSSc0aXs,30.0,46,20,,1920,1080,626.3333333333334,3583.7772760391235
PGD3OjvuaM8,30.0,84,20,,1280,720,633.8,1859.8259003162384
