,video_id,width,height,area,duration
0,-75gXEApdNQ,1920,1080,2073600,482.4
1,0VrxAn-goEw,854,480,409920,536.567
2,0yTEcgQNoQo,470,360,169200,1332.0
3,1dCoXH61eyc,1280,720,921600,691.8
4,26wTw6UGoAY,1280,720,921600,1211.8
5,2EBekZXEF3w,1280,720,921600,750.967
6,2S4vdPkmANM,1280,720,921600,812.4
7,3h_idnfM5Mw,1920,1080,2073600,737.4
8,3zbCMOTMYQ0,640,480,307200,511.9
9,4ashVec0QJw,1280,720,921600,3170.167
10,4D6X_wWx_6k,1280,720,921600,574.467
11,4GrZ6AaXnig,1280,720,921600,614.267
12,51HFQM3yPo4,854,480,409920,377.8
13,6ocBhGNG53I,1280,720,921600,1423.234
14,7-x4Pik4ztU,1280,720,921600,949.834
15,76ZWlmpU8NI,1280,720,921600,681.9
16,78ssC83YlOk,1920,1080,2073600,1373.4
17,7C80D-iCWp0,1920,1080,2073600,1261.967
18,86MUrGTNpFk,1280,720,921600,743.0
19,8AjnrIDJ9Dk,1280,720,921600,687.034
20,8iTclIv-iZs,1280,720,921600,779.2
21,8p_NgUrcOYo,640,360,230400,3292.967
22,8qmqhZyXmbw,1280,720,921600,711.8
23,9MuIAVhmOn8,1280,720,921600,707.2
24,9NpqcrW4FoY,1920,1080,2073600,3292.067
25,9VyuDAUC0YE,1920,1080,2073600,1599.067
26,aivXESc5jrs,854,480,409920,969.0
27,AlJWn8Vnn7E,1280,720,921600,1111.567
28,als9TAvyGgo,640,360,230400,1277.6
29,AMbFy_w00VU,640,360,230400,2508.134
30,aOmSvH-5Gck,1920,1080,2073600,767.467
31,AsiQkIOSLj0,1920,1080,2073600,536.934
32,b0bLPsJ6PNs,1280,720,921600,573.367
33,B6OM-wAB3cM,1920,1080,2073600,1829.334
34,B6WLFKUZcl8,1920,1080,2073600,1317.3
35,b85zz8XkVO4,386,720,277920,2539.067
36,bA1AXnTw0xA,1920,1080,2073600,1894.134
37,bP6op_zC_Lc,640,480,307200,1620.667
38,B_41smZIXc4,1280,720,921600,560.967
39,c0hOSSRf92w,1920,1080,2073600,1483.934
40,C4qokTXZP1Q,426,240,102240,2147.467
41,C52lC_56SBI,1920,1080,2073600,1561.134
42,CCQptiAh_VY,1920,1080,2073600,3103.067
43,CKgNteI4pdM,1920,1080,2073600,485.534
44,cLI37CuaPv0,854,480,409920,575.134
45,CLyIotg0mpY,1920,810,1555200,415.7
46,cWt2WHYt-g4,1920,1080,2073600,3188.967
47,dh-6LlKrbas,1280,720,921600,708.934
48,Dhs_IMxEI4Y,1280,720,921600,519.034
49,DN4kMc26gmk,640,480,307200,621.3
50,DUHP8I-EoUI,1280,720,921600,3165.234
51,dV33rE1IUB8,1280,720,921600,1984.0
52,dZn5ZOF0XrU,1920,1080,2073600,332.567
53,eL_Z3081iGk,1280,720,921600,487.767
54,Et4V5s3tfZY,1280,720,921600,3504.7
55,FD7ASrSrQk4,1920,1080,2073600,632.9
56,Feyr1xSziiA,490,360,176400,698.6
57,FMdkxVQuMqA,1280,720,921600,980.567
58,FWgUO9JHYWM,320,240,76800,1404.6
59,g3xBJeM9fkM,1280,720,921600,962.034
60,g83kvsaR23U,640,352,225280,919.667
61,gazNxkL0Y1I,1280,720,921600,480.4
62,GEwzkBy3SkQ,320,240,76800,946.434
63,gGlWgLI1_kM,640,360,230400,1390.134
64,GiXJajiWHlg,1920,1080,2073600,804.934
65,gkHascgPc1g,640,360,230400,615.0
66,gQY-5f_w6oU,1280,720,921600,2720.5
67,H-ZpjCax8g4,640,480,307200,469.567
68,hDWfVV4BE_c,640,480,307200,795.2
69,hEhbxx8TPgc,1280,720,921600,1675.0
70,Hgs1FCxGIv4,1280,720,921600,365.8
71,hwCSDV4esEs,1280,720,921600,392.034
72,iAir-bRL710,640,360,230400,492.467
73,iIg-NV49USI,1280,720,921600,781.267
74,IIzB4J_cN2c,1920,1080,2073600,878.1
75,IMFMUCc6rIA,1280,720,921600,1983.334
76,in1RqJ6p0fg,480,360,172800,685.1
77,IPI2nanuQF0,1280,720,921600,412.867
78,JkQ1ou8jEBo,1920,1080,2073600,2056.434
79,jQQdxpeV4YA,1920,1080,2073600,645.834
80,Jwy1KfhQMZ8,1920,1080,2073600,1502.934
81,JYuV9kVbljo,1280,720,921600,1023.367
82,k-Fdyi5SKjA,1280,720,921600,2602.467
83,kGN12CSARD8,640,360,230400,708.934
84,KgVW-euTY5g,360,240,86400,1486.067
85,KXZnOyFLjKU,1920,1080,2073600,1011.567
86,KZlZlFq4UAc,854,480,409920,736.034
87,kZrHMPKlz1w,640,360,230400,1061.6
88,k_NWf1REW-4,1920,1080,2073600,3343.434
89,l-bUeN_Xzcw,1280,720,921600,1264.834
90,lRWRNE7hUU8,854,480,409920,1643.734
91,LZIgIhHADMo,1920,1080,2073600,1707.267
92,L_cDkHous0o,1280,720,921600,1164.367
93,Mg0SeOsj-MA,1280,720,921600,3082.367
94,mRdwy8eUb4k,1920,1080,2073600,561.0
95,mvrDJ-rMs_8,854,480,409920,2516.9
96,MxlJhLtaDK0,1920,1080,2073600,859.134
97,NNDOp3xEons,640,360,230400,1330.934
98,NnyM1jRYMfc,480,360,172800,1859.834
99,ns08YNU2tzk,1920,1080,2073600,1495.034
100,oBvD4ox9Aik,1280,720,921600,741.767
101,oQnRdoOLDrY,1920,1080,2073600,1315.567
102,oSBbSSc0aXs,1920,1080,2073600,626.334
103,O_tXbLZcDoE,1920,1080,2073600,561.267
104,pDxx7ntHAfk,1280,720,921600,614.0
105,PGD3OjvuaM8,1280,720,921600,633.8
106,PPRhJKiVx7E,1920,1080,2073600,383.5
107,Pv6riyAAvjY,1920,1080,2073600,1304.134
108,PVJMDT1K73I,640,360,230400,1271.2
109,PWMm8JhDxg4,1280,720,921600,2634.0
110,Q0CB4UHhZR4,1280,720,921600,344.867
111,QIfF6eWaFDY,1280,720,921600,701.434
112,QwoGcTLAS0Q,640,480,307200,557.934
113,r93suYNwcuE,480,360,172800,496.7
114,rGtEyPmtQDY,1920,1080,2073600,433.234
115,RHOCpiy5ysY,1920,1080,2073600,428.834
116,RifdTdEfOcM,640,360,230400,383.767
117,S9oiJdDvIMk,1280,720,921600,860.867
118,SDg8k4unARE,1920,1080,2073600,1988.367
119,T6Vi0KNafrc,1920,1080,2073600,1362.567
120,T8OizjBmqFc,1280,720,921600,2324.1
121,tLEA4uf032k,1920,1080,2073600,575.234
122,tLfe4jqPdEU,640,480,307200,702.034
123,u159fUSRxG8,1920,1080,2073600,911.5
124,UGSgLXCg6P0,1280,720,921600,507.567
125,vfOBPfBSTLI,1280,720,921600,911.267
126,VHS84WsjJfk,640,360,230400,2971.834
127,vrRGcb_3NE0,1280,720,921600,836.834
128,vT-asdHWKC0,1280,720,921600,1256.467
129,Wa3WKhsm_G0,854,480,409920,2636.3
130,weA8YyJxOoM,640,360,230400,536.267
131,wOxeHyodJqw,420,320,134400,363.1
132,Wpv68wbRNY0,1920,1080,2073600,665.367
133,wUEpQ8dd9Pk,1920,1080,2073600,816.734
134,wYZ76l6sDCE,1920,1080,2073600,1004.834
135,x8DClIxtZms,854,480,409920,423.3
136,y80_ETaYf0I,1280,720,921600,943.634
137,YekvbVTlncI,320,240,76800,406.4
138,YhXIZMg0pbM,1920,1080,2073600,990.434
139,ys2gSjpRdpw,1280,720,921600,1415.6
140,yS9pnOV37Dk,1920,1080,2073600,3171.367
141,ySwhYma4ixU,1280,720,921600,336.4
142,yWte7V-4fbk,1280,720,921600,1972.0
143,ZeQEtJwFc7c,1280,720,921600,754.734
144,ZFRCRos_TYI,1280,718,919040,1756.0
145,zkgGybGmTlQ,658,480,315840,810.6
146,zR7L_BoYY-c,1280,720,921600,920.234
147,Zs23wXpjvak,640,360,230400,1911.7
148,_PtmxkdMt0k,1280,720,921600,603.6
149,_S4Dlym0fY0,490,360,176400,442.3
